X,Y
97,65
47,94
50,61
64,19
33,67
37,39
37,66
91,31
1,18
60,1
25,87
17,71
51,65
16,5
82,47
66,44
30,39
99,77
13,67
76,61
76,29
23,45
62,95
32,28
36,24
18,15
15,66
40,71
19,91
73,87
78,82
26,32
39,85
50,12
53,92
48,75
21,93
88,16
80,41
91,52
40,58
5,33
76,2
88,23
64,97
31,27
34,29
49,81
70,93
98,18
51,95
7,84
13,56
84,35
59,89
50,8
77,4
60,4
82,20
89,20
74,1
73,79
64,90
89,16
100,92
37,34
87,17
92,63
55,27
7,79
26,71
35,49
22,78
2,83
63,70
57,79
35,1
60,99
89,59
44,19
34,38
63,85
72,50
47,66
73,2
65,95
20,80
3,32
1,8
43,89
3,49
8,18
56,13
77,49
47,92
62,31
78,9
18,88
57,30
93,33
43,88
50,27
57,24
42,16
6,32
46,64
69,77
2,75
13,72
80,30
47,45
81,8
82,64
87,7
90,47
41,76
63,49
2,100
87,42
81,62
76,75
88,83
51,52
59,44
71,61
50,81
49,27
33,89
62,67
98,16
73,6
85,70
80,71
59,11
47,70
90,84
30,23
100,47
1,33
66,82
7,81
75,90
99,3
57,57
20,31
58,7
91,71
40,60
98,44
93,95
68,84
23,98
3,34
74,98
26,64
85,63
65,6
61,23
19,69
75,88
28,70
89,7
47,69
51,79
50,71
59,37
91,87
88,89
17,23
64,60
17,95
59,67
87,75
44,64
85,39
24,84
14,61
72,58
84,61
86,61
7,21
68,82
29,86
30,60
60,63
86,67
35,81
44,100
99,32
3,74
71,29
80,59
63,87
46,17
32,79
3,9
20,76
99,45
42,41
75,42
19,27
74,71
33,20
96,49
38,63
8,97
5,49
50,72
73,52
82,51
50,88
20,86
9,83
5,43
61,86
10,58
1,46
37,9
62,90
22,16
78,93
94,83
64,21
34,59
9,92
91,38
9,63
31,97
79,8
100,29
84,4
80,100
4,83
14,60
8,32
32,99
3,59
80,52
23,73
53,59
77,21
32,57
17,85
69,90
9,22
52,96
99,90
82,35
71,48
69,63
59,54
86,54
88,48
75,70
17,86
79,68
3,23
53,62
26,33
60,30
41,50
57,37
26,39
64,76
25,76
38,38
91,79
49,6
21,63
99,98
66,41
68,45
59,80
75,92
18,59
96,66
68,33
75,87
18,49
18,100
20,27
35,45
19,61
86,44
68,36
73,44
70,35
27,64
14,15
20,50
62,17
16,36
92,83
50,35
48,80
90,58
15,72
79,32
47,6
45,45
21,65
22,2
92,58
68,46
6,12
39,61
54,30
25,52
85,43
99,53
86,9
51,93
57,13
65,64
28,34
2,67
72,5
12,80
79,52
54,99
87,59
31,12
65,87
30,99
78,60
41,32
59,24
78,24
73,27
6,85
9,27
15,14
7,15
80,78
12,27
36,93
77,11
25,99
15,88
54,57
77,38
22,76
19,77
69,54
48,36
100,52
24,3
29,42
42,72
85,69
51,92
8,88
30,6
23,17
76,39
10,43
83,95
42,94
63,47
22,74
83,17
5,13
23,77
22,1
22,46
56,90
17,11
16,62
91,46
36,60
33,37
80,7
98,43
83,63
99,5
29,6
96,36
86,34
31,1
12,73
100,25
16,94
25,64
100,9
99,51
3,54
39,4
90,50
59,6
11,5
8,92
57,42
76,34
6,81
96,19
12,1
55,87
40,46
64,51
16,97
32,95
66,49
37,19
90,1
14,19
15,54
69,72
56,36
21,1
44,70
58,31
13,89
51,48
99,52
34,69
36,4
67,40
24,43
19,42
87,54
83,44
89,100
17,70
52,70
87,32
62,96
24,94
92,61
46,53
72,88
86,78
2,54
100,8
83,46
24,34
87,25
91,57
17,89
72,70
72,68
78,47
92,14
85,20
25,17
34,7
23,54
11,54
13,83
64,43
29,88
21,81
14,58
69,76
30,47
29,51
53,32
34,83
92,10
10,28
92,71
24,16
65,21
17,79
86,12
50,74
66,10
30,25
21,39
69,27
97,15
100,37
40,14
65,26
77,58
28,5
70,47
95,69
63,30
48,21
86,29
94,49
68,28
25,23
59,73
97,25
97,52
8,12
93,84
10,20
65,52
31,88
81,31
83,34
66,96
98,66
75,44
94,71
60,60
22,40
12,95
34,31
45,35
88,32
12,78
35,85
79,13
32,70
42,23
13,99
79,64
19,73
78,97
90,45
35,82
12,34
63,86
91,65
4,50
60,86
72,82
51,88
67,73
63,22
10,11
28,86
32,8
80,94
24,98
14,47
32,89
43,67
9,38
39,36
83,59
52,14
34,60
80,87
47,65
93,15
49,45
9,82
39,100
11,42
53,23
37,30
80,65
53,61
40,47
31,44
70,8
50,95
52,12
50,76
66,37
100,6
16,87
76,15
97,98
14,80
26,55
17,72
73,76
2,16
87,14
41,11
20,20
42,75
38,27
12,79
85,33
17,56
25,77
84,87
51,67
67,28
74,87
4,6
71,84
89,46
12,92
31,87
84,59
97,39
34,44
40,11
74,59
24,77
42,47
44,1
83,84
56,52
79,92
33,31
97,4
60,28
32,86
99,73
52,44
57,34
12,68
29,79
42,27
10,46
18,11
65,59
26,67
40,80
89,34
26,62
79,47
12,42
33,36
33,25
41,94
34,24
55,6
27,94
89,55
56,8
6,75
10,86
30,31
39,29
6,89
11,56
96,26
44,82
7,14
63,5
18,86
78,84
92,99
68,53
31,62
24,24
96,45
96,55
83,89
2,14
27,74
30,65
26,45
59,34
2,26
61,37
6,94
50,19
79,99
15,8
38,26
55,78
19,71
96,53
40,27
80,50
85,77
93,87
56,2
17,94
26,12
6,29
75,11
73,12
32,12
84,11
20,60
19,64
42,91
16,25
27,68
93,89
4,47
13,84
38,15
19,80
59,15
70,75
95,11
1,25
90,78
79,63
5,97
78,79
65,28
6,36
28,81
86,96
18,56
99,82
31,98
55,44
68,47
27,7
11,13
19,93
21,55
50,5
84,23
68,100
78,28
46,9
56,33
62,68
72,34
40,20
81,34
78,67
79,57
27,58
39,27
44,37
27,33
85,65
47,28
95,78
39,67
6,14
73,5
11,81
98,10
34,9
64,46
36,56
9,31
39,22
61,6
80,64
6,78
88,97
54,51
63,1
7,66
48,41
23,29
69,65
38,94
72,53
53,10
99,2
42,21
56,21
14,10
32,42
70,77
46,42
28,44
71,44
39,24
90,6
40,63
98,54
58,81
5,10
63,32
55,19
24,62
83,3
31,61
38,81
99,9
76,9
6,68
29,97
18,42
10,5
61,31
1,94
89,49
73,90
5,88
9,30
79,95
48,27
52,93
91,39
48,71
39,99
59,27
14,13
92,42
96,72
43,63
18,99
18,32
71,24
56,99
65,57
96,77
48,99
57,9
83,83
37,52
77,98
34,20
85,52
98,64
46,16
63,15
48,63
98,72
30,81
47,74
81,83
56,43
71,83
94,26
69,97
77,72
13,60
46,6
23,13
100,75
99,29
80,10
52,41
50,42
40,53
14,81
83,24
94,34
34,71
57,10
23,62
71,13
81,76
91,62
34,21
88,100
68,58
5,17
2,62
29,85
39,89
98,52
15,83
10,52
24,33
28,24
25,68
57,98
51,4
3,52
45,23
80,14
46,23
34,72
13,57
23,44
8,36
46,89
13,42
88,72
7,39
62,29
94,52
54,76
97,17
44,88
7,16
3,53
33,3
26,85
98,80
37,43
14,7
36,18
77,66
50,53
9,8
88,26
88,69
48,15
77,45
85,74
52,72
72,12
15,53
40,8
74,18
32,98
15,17
69,56
61,59
43,71
62,47
67,30
31,53
25,22
90,57
82,100
97,21
15,25
69,51
89,53
100,87
12,46
30,36
14,36
46,46
32,77
63,90
79,48
66,9
82,10
65,11
97,9
53,72
27,84
46,38
4,19
43,43
41,80
87,65
83,52
62,20
2,71
9,4
77,12
46,2
98,77
67,49
6,40
51,81
62,72
47,73
32,5
63,25
17,84
72,9
47,64
93,46
93,62
92,34
36,34
66,93
41,12
10,100
47,5
73,62
67,51
73,86
10,10
61,21
76,13
78,2
24,18
81,5
24,48
96,15
67,66
23,72
81,11
79,91
1,85
96,14
94,38
15,29
72,64
77,34
26,7
39,64
7,99
27,86
28,51
13,30
100,63
5,5
11,12
40,31
55,1
44,33
59,52
38,55
58,70
92,76
84,51
38,41
87,21
4,97
98,83
27,67
41,54
61,39
54,48
5,99
34,34
8,61
50,9
84,40
52,24
78,55
5,73
42,6
60,91
97,86
4,84
90,80
46,31
14,75
67,35
66,19
40,35
11,50
59,79
6,84
99,61
8,50
66,40
46,77
62,98
13,10
75,53
30,16
9,58
50,97
33,93
49,31
23,40
87,51
34,95
68,95
65,93
4,93
96,39
30,1
80,96
44,23
9,45
67,20
16,68
99,64
98,1
48,37
71,94
14,55
71,35
10,18
91,81
36,78
76,1
48,10
21,57
43,12
59,55
84,96
35,39
63,91
52,94
30,14
4,34
41,31
61,34
41,13
14,3
31,56
89,17
25,84
71,68
82,3
4,88
14,38
5,56
55,32
29,22
9,14
13,87
22,31
75,49
70,90
40,51
45,6
42,36
40,44
92,11
47,90
56,91
17,73
97,95
44,94
41,26
89,58
34,6
48,60
28,40
43,8
8,72
49,15
58,87
85,93
22,24
11,93
3,67
45,68
30,84
75,43
32,41
95,28
20,8
21,96
79,69
28,76
53,3
95,1
63,35
55,42
13,18
12,100
78,88
25,19
50,38
91,58
58,59
92,62
97,88
7,17
61,63
38,48
26,57
39,90
73,20
93,76
71,3
48,46
12,52
3,43
91,83
24,19
21,17
44,6
6,91
41,90
50,73
37,74
37,61
41,56
61,80
52,42
91,28
56,56
100,53
76,30
34,80
70,37
10,91
30,62
56,39
33,80
44,92
30,33
5,22
65,14
40,99
6,28
23,2
31,51
53,82
6,69
28,50
50,26
18,2
93,10
83,93
99,54
84,58
92,91
100,45
23,33
85,72
26,93
9,96
12,38
3,10
40,55
45,21
64,96
41,99
16,84
15,80
49,78
2,12
92,67
27,42
51,56
54,15
59,25
65,53
72,80
81,72
18,12
84,29
92,60
6,5
73,92
96,84
10,44
29,64
38,52
85,49
66,94
90,27
76,77
68,90
54,36
57,59
46,93
12,12
96,83
36,25
32,29
15,90
4,39
8,16
37,28
75,10
86,37
60,35
50,80
25,2
85,1
16,93
72,75
10,75
62,44
61,25
33,81
74,95
9,53
89,4
9,66
72,72
83,88
50,45
44,41
65,60
96,27
17,2
57,82
75,2
11,14
89,18
15,36
63,66
48,38
77,17
51,83
25,78
28,48
30,21
47,91
88,19
77,6
6,2
8,53
33,63
65,17
66,72
40,89
7,31
62,60
36,11
79,97
47,34
43,14
84,43
50,21
85,81
87,76
24,31
24,74
25,27
88,87
90,2
45,9
81,93
9,37
39,12
19,44
61,83
22,98
81,80
15,22
16,8
8,25
24,63
83,57
61,99
64,63
29,2
44,62
5,27
7,90
70,7
100,1
59,12
28,21
56,34
81,57
92,13
66,61
66,2
24,25
97,62
36,88
11,89
99,85
90,4
11,33
40,57
42,95
60,57
83,51
100,56
19,72
87,87
4,70
67,17
100,70
88,64
39,86
29,50
49,34
79,65
79,31
39,97
42,34
50,41
68,32
35,38
26,88
45,41
97,8
44,42
27,54
79,26
2,94
60,81
63,50
61,61
35,23
19,2
60,12
25,55
79,33
54,38
45,63
91,85
2,23
4,63
77,100
79,55
28,35
86,88
69,2
47,10
9,94
11,10
22,22
57,53
88,81
88,18
19,74
39,42
23,48
71,71
63,28
43,96
74,69
33,100
76,85
67,76
21,6
46,85
34,81
86,89
75,95
12,13
14,16
65,16
69,53
19,94
16,66
22,7
5,68
41,29
66,64
48,35
72,26
85,19
